epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.6598,1.29866,2.989,1.29551,0.41468,0.47487,0.3914,0.24266,1.17969,1.77324,1.2047,0.003325,0.003325,0.003325
2,158.28,1.30931,1.88084,1.28669,0.48546,0.50182,0.47909,0.2947,1.23778,1.62947,1.22135,0.00664735,0.00664735,0.00664735
3,221.471,1.38087,1.82904,1.31205,0.40482,0.44952,0.40062,0.23951,1.36356,1.84257,1.31762,0.00995869,0.00995869,0.00995869
4,284.67,1.44969,1.87023,1.35052,0.48613,0.44272,0.41805,0.25614,1.35982,1.71341,1.3135,0.0099505,0.0099505,0.0099505
5,346.586,1.41363,1.77699,1.32792,0.50898,0.50994,0.49406,0.30394,1.27311,1.68331,1.26123,0.009934,0.009934,0.009934
6,407.695,1.39912,1.67839,1.31031,0.57497,0.52508,0.53956,0.33376,1.26912,1.6287,1.23709,0.0099175,0.0099175,0.0099175
7,471.237,1.35735,1.5996,1.29844,0.58448,0.55465,0.5597,0.35054,1.26939,1.58936,1.26045,0.009901,0.009901,0.009901
8,546.68,1.34712,1.51453,1.28055,0.64717,0.57589,0.61083,0.39026,1.18208,1.22447,1.20328,0.0098845,0.0098845,0.0098845
9,619.023,1.3146,1.47686,1.27718,0.64164,0.6108,0.62585,0.40678,1.15407,1.21792,1.17477,0.009868,0.009868,0.009868
10,693.375,1.29436,1.41336,1.25632,0.55737,0.64118,0.61854,0.39164,1.1236,1.33743,1.15313,0.0098515,0.0098515,0.0098515
11,764.579,1.27641,1.37144,1.25498,0.6568,0.61826,0.6685,0.43272,1.13812,1.08414,1.1535,0.009835,0.009835,0.009835
12,847.977,1.26191,1.33078,1.24265,0.68163,0.64766,0.65971,0.43291,1.11688,1.1394,1.15929,0.0098185,0.0098185,0.0098185
13,923.088,1.24486,1.30189,1.23427,0.60753,0.64332,0.65492,0.42742,1.12015,1.14119,1.15555,0.009802,0.009802,0.009802
14,996.668,1.24786,1.2712,1.23603,0.68869,0.67425,0.69247,0.45551,1.09637,1.01652,1.1346,0.0097855,0.0097855,0.0097855
15,1070.27,1.22469,1.24244,1.21828,0.69424,0.72873,0.74036,0.48562,1.07116,0.93572,1.11449,0.009769,0.009769,0.009769
16,1143.33,1.22019,1.22144,1.21637,0.72169,0.72139,0.73822,0.49215,1.06028,0.92074,1.11641,0.0097525,0.0097525,0.0097525
17,1217.5,1.21369,1.20707,1.2127,0.7274,0.70185,0.73451,0.49788,1.03892,0.92135,1.10044,0.009736,0.009736,0.009736
18,1293.05,1.20955,1.18841,1.20929,0.70674,0.7183,0.74284,0.49822,1.04848,0.93117,1.10378,0.0097195,0.0097195,0.0097195
19,1368.17,1.20136,1.16777,1.21107,0.70032,0.71768,0.7326,0.49012,1.06149,0.98748,1.10818,0.009703,0.009703,0.009703
20,1434.33,1.1869,1.14488,1.19866,0.7433,0.70421,0.7563,0.51589,1.02513,0.86537,1.10232,0.0096865,0.0096865,0.0096865
21,1497.8,1.18308,1.13482,1.19666,0.72587,0.73054,0.75344,0.51407,1.01564,0.91606,1.08574,0.00967,0.00967,0.00967
